"","X","Id","Id.Type","Standard.Value","smiles"
"648",9,"118725961","cid",0.005,"CC1=CC(=NC=N1)C2=CC3=C(C=C2)[C@@H](CC3)N4CC5(C4)CCN(CC5)C(=O)COC6=C(C=C(C=C6)OC)C#N"
"649",10,"16113371","cid",0.006,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@@H]5CCCN5)CCC6=CNC7=CC=CC=C76"
"650",11,"44445611","cid",0.006,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)CC5=CC=CC=N5)CCC6=CC=CC=C6"
"651",12,"16113372","cid",0.007,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H]5CCCN5)CCC6=CNC7=CC=CC=C76"
"652",13,"16113370","cid",0.008,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H]5CCCCN5)CCC6=CNC7=CC=CC=C76"
"653",14,"44436829","cid",0.008,"COC1=CC=C(C=C1)CN2C(NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H]5CCCN5)CCC6=CC=CC=C6"
"654",15,"23648245","cid",0.01,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H]5CCCNC5)CCC6=CC=CC=C6"
"655",16,"44445616","cid",0.01,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)CC5=CC=NC=C5)CCC6=CNC7=CC=CC=C76"
"656",17,"16113003","cid",0.011,"COC1=CC(=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@@H]5CCCN5)CCC6=CNC7=CC=CC=C76)OC"
"657",18,"16113003","cid",0.011,"COC1=CC(=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@@H]5CCCN5)CCC6=CNC7=CC=CC=C76)OC"
"658",19,"16113245","cid",0.012,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)C5=CC=CC=N5)CCC6=CC=CC=C6"
"659",20,"16113905","cid",0.012,"CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=CC=C(C=C4)OC)CCCC5=CNC6=CC=CC=C65)N"
"660",21,"44445600","cid",0.012,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=CC=CC=N5)CCC6=CC=CC=C6"
"661",22,"44445610","cid",0.012,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)CC5=CC=CC=N5)CCC6=CNC7=CC=CC=C76"
