"","Id","Id.Type","Standard.Value"
"623","CHEMBL278623","chemblid",22.9
"624","CHEMBL178161","chemblid",10000
"625","CHEMBL324845","chemblid",1e+05
"626","CHEMBL2310891","chemblid",0.12
"627","CHEMBL385803","chemblid",800
"628","CHEMBL58758","chemblid",2670
"629","CHEMBL361366","chemblid",7600
"630","CHEMBL368247","chemblid",10000
"631","CHEMBL359714","chemblid",9200
"632","CHEMBL182134","chemblid",10000
"633","CHEMBL182134","chemblid",NA
"634","CHEMBL279822","chemblid",20.1
"635","CHEMBL178128","chemblid",10000
"636","CHEMBL178494","chemblid",4700
"637","CHEMBL178266","chemblid",980
"638","CHEMBL182154","chemblid",2200
"639","CHEMBL249638","chemblid",11
"640","CHEMBL378438","chemblid",10000
"641","CHEMBL379191","chemblid",40
"642","CHEMBL359922","chemblid",83
"643","CHEMBL181619","chemblid",7500
"644","CHEMBL504856","chemblid",2000
"645","CHEMBL3581048","chemblid",100
"646","CHEMBL178384","chemblid",NA
"647","CHEMBL178494","chemblid",5500
"648","CHEMBL3586026","chemblid",24
"649","CHEMBL403683","chemblid",450
"650","CHEMBL402023","chemblid",820
"651","CHEMBL252501","chemblid",450
"652","CHEMBL208842","chemblid",10
"653","CHEMBL181619","chemblid",7400
"654","CHEMBL212415","chemblid",70
"655","CHEMBL208930","chemblid",10000
"656","CHEMBL185399","chemblid",39
"657","CHEMBL184429","chemblid",57
"658","CHEMBL363995","chemblid",9
"659","CHEMBL364430","chemblid",34
"660","CHEMBL186540","chemblid",861
"661","CHEMBL3218650","chemblid",1.1
"662","CHEMBL1076586","chemblid",100
"663","CHEMBL1082164","chemblid",6500
"664","CHEMBL1081611","chemblid",14.3
"665","CHEMBL1080162","chemblid",143
"666","CHEMBL3218900","chemblid",1.7
"667","CHEMBL3218902","chemblid",2.7
"668","CHEMBL3218903","chemblid",5.7
"669","CHEMBL3218907","chemblid",60
"670","CHEMBL2170692","chemblid",1000
"671","CHEMBL504776","chemblid",420
"672","CHEMBL2164825","chemblid",2540
"673","CHEMBL2164501","chemblid",64
"674","CHEMBL2164500","chemblid",38
"675","CHEMBL2164498","chemblid",10000
"676","CHEMBL2164496","chemblid",10000
"677","CHEMBL2164829","chemblid",273
"678","CHEMBL2170691","chemblid",1000
"679","CHEMBL2310892","chemblid",1000
"680","CHEMBL3319217","chemblid",0.078
"681","CHEMBL3319215","chemblid",1.3
"682","CHEMBL3319404","chemblid",33
"683","CHEMBL3581040","chemblid",2.8
"684","CHEMBL3581046","chemblid",1210
"685","CHEMBL3581039","chemblid",2.1
"686","CHEMBL3581040","chemblid",4.6
"687","CHEMBL3581042","chemblid",7.8
"688","CHEMBL3581043","chemblid",25
"689","CHEMBL3581045","chemblid",112
"690","CHEMBL205286","chemblid",21
"691","CHEMBL206589","chemblid",42
"692","CHEMBL2048809","chemblid",231
"693","CHEMBL2164826","chemblid",47
"694","CHEMBL3319227","chemblid",0.53
"695","CHEMBL3218899","chemblid",40
"696","CHEMBL3218905","chemblid",12
"697","CHEMBL444131","chemblid",540
"698","CHEMBL447444","chemblid",1000
"699","CHEMBL2163348","chemblid",771
"700","CHEMBL2163481","chemblid",3740
"701","CHEMBL2163479","chemblid",19500
"702","CHEMBL2163475","chemblid",1640
"703","CHEMBL2163464","chemblid",3610
