"","Id","Id.Type","Standard.Value"
"437","CHEMBL3973085","chemblid",10
"438","CHEMBL3894559","chemblid",10000
"439","CHEMBL3940653","chemblid",10
"440","CHEMBL3977037","chemblid",10000
"441","CHEMBL3940922","chemblid",1000
"442","CHEMBL3942642","chemblid",100
"443","CHEMBL3954394","chemblid",100
"444","CHEMBL3978207","chemblid",10
"445","CHEMBL3949653","chemblid",1000
"446","CHEMBL3942554","chemblid",100
"447","CHEMBL3983297","chemblid",1000
"448","CHEMBL2426682","chemblid",1380.38
"449","CHEMBL2426677","chemblid",6.31
"450","CHEMBL3981238","chemblid",10
"451","CHEMBL1923617","chemblid",0.34
"452","CHEMBL3969367","chemblid",0.1
"453","CHEMBL1923609","chemblid",0.1
"454","CHEMBL2426672","chemblid",30199.52
"455","CHEMBL363334","chemblid",NA
"456","CHEMBL3963236","chemblid",1000
"457","CHEMBL3945918","chemblid",100
"458","CHEMBL3983626","chemblid",10
"459","CHEMBL3971356","chemblid",100
"460","CHEMBL3931856","chemblid",177
"461","CHEMBL3918009","chemblid",0.1
"462","CHEMBL3942232","chemblid",10000
"463","CHEMBL3979468","chemblid",10
"464","CHEMBL3912375","chemblid",10
"465","CHEMBL3976294","chemblid",10
"466","CHEMBL3931402","chemblid",100
"467","CHEMBL3893788","chemblid",10000
"468","CHEMBL3797639","chemblid",210
"469","CHEMBL3799222","chemblid",17
"470","CHEMBL3799862","chemblid",154
"471","CHEMBL3799604","chemblid",154
"472","CHEMBL3645259","chemblid",12
"473","CHEMBL362531","chemblid",NA
"474","CHEMBL3965338","chemblid",100
"475","CHEMBL3934184","chemblid",100
"476","CHEMBL3909838","chemblid",10
"477","CHEMBL3899006","chemblid",10000
"478","CHEMBL3902748","chemblid",10000
"479","CHEMBL3966719","chemblid",10000
"480","CHEMBL3951593","chemblid",100
"481","CHEMBL3905129","chemblid",10000
"482","CHEMBL1923630","chemblid",10000
"483","CHEMBL3955632","chemblid",100
"484","CHEMBL3975170","chemblid",10000
"485","CHEMBL3891793","chemblid",10000
"486","CHEMBL3906788","chemblid",100
"487","CHEMBL3912034","chemblid",100
"488","CHEMBL189625","chemblid",1150
"489","CHEMBL186651","chemblid",NA
"490","CHEMBL3928367","chemblid",100
"491","CHEMBL3935670","chemblid",0.1
"492","CHEMBL3908583","chemblid",100
"493","CHEMBL3940295","chemblid",500
"494","CHEMBL3958492","chemblid",1000
"495","CHEMBL3929593","chemblid",0.1
"496","CHEMBL3645256","chemblid",8
"497","CHEMBL3923508","chemblid",1000
"498","CHEMBL2426677","chemblid",17.38
"499","CHEMBL3287217","chemblid",16.98
"500","CHEMBL3394203","chemblid",127
"501","CHEMBL3394197","chemblid",166
"502","CHEMBL3645257","chemblid",0.8
"503","CHEMBL236038","chemblid",2940
"504","CHEMBL1923635","chemblid",10
"505","CHEMBL3965402","chemblid",1000
"506","CHEMBL3965516","chemblid",100
"507","CHEMBL3918022","chemblid",100
"508","CHEMBL3983949","chemblid",10000
"509","CHEMBL3965351","chemblid",100
"510","CHEMBL256235","chemblid",18
"511","CHEMBL3936957","chemblid",100
"512","CHEMBL3986906","chemblid",100
"513","CHEMBL3940928","chemblid",1000
